"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Dyras Dental","MI","Healthcare Provider","2745","03/05/2021","Hacking/IT Incident","Network Server","No",""
"Arizona Oncology Associates, PC","AZ","Healthcare Provider","717","03/05/2021","Loss","Paper/Films","No",""
"Walmart Inc.","AR","Healthcare Provider","2067","03/05/2021","Hacking/IT Incident","Network Server","Yes",""
"Family Health Services MN d/b/a Entira Family Clinics","MN","Healthcare Provider","1975","03/02/2021","Hacking/IT Incident","Network Server","No",""
"PeakTPA","MO","Business Associate","50000","03/02/2021","Hacking/IT Incident","Network Server","Yes",""
"Liberation Programs, Inc","CT","Healthcare Provider","7406","03/02/2021","Hacking/IT Incident","Electronic Medical Record","No",""
"New Bedford Jewish Convalescent Home, Inc.","MA","Healthcare Provider","873","03/02/2021","Hacking/IT Incident","Email","No",""
"ProComp Software Consultants, Inc.","OH","Business Associate","1008","03/02/2021","Hacking/IT Incident","Network Server","Yes",""
"Geisinger Health Plan","PA","Health Plan","2872","02/28/2021","Unauthorized Access/Disclosure","Paper/Films","No",""
"The SurgiCare Center of Utah","UT","Healthcare Provider","8675","02/26/2021","Hacking/IT Incident","Network Server","No",""
"Jewish Home Lifecare d/b/a The New Jewish Home","NY","Healthcare Provider","2091","02/26/2021","Hacking/IT Incident","Email","No",""
"AllyAlign Health, Inc.","VA","Health Plan","33932","02/26/2021","Hacking/IT Incident","Network Server","No",""
"The Home for the Little Wanderers","MA","Healthcare Provider","5396","02/26/2021","Unauthorized Access/Disclosure","Email","No",""
"InfuSystem Holdings, Inc.","MI","Business Associate","675","02/25/2021","Hacking/IT Incident","Email","Yes",""
"BW Homecare Holdings, LLC d.b.a. Elara Caring ","TX","Healthcare Provider","100487","02/24/2021","Hacking/IT Incident","Email","No",""
"Jacobson Memorial Hospital Care Center","ND","Healthcare Provider","1545","02/23/2021","Hacking/IT Incident","Email","No",""
"The Kroger Co. ","OH","Healthcare Provider","1474284","02/19/2021","Hacking/IT Incident","Network Server","No",""
"Covenant HealthCare","MI","Healthcare Provider","47178","02/19/2021","Hacking/IT Incident","Email","No",""
"Rainbow Rehabilitation Centers, Inc","MI","Healthcare Provider","1639","02/19/2021","Hacking/IT Incident","Email","No",""
"Andor Labs","NC","Healthcare Provider","500","02/19/2021","Hacking/IT Incident","Network Server","No",""
"Fisher Titus Health, Inc.","OH","Health Plan","49636","02/18/2021","Hacking/IT Incident","Email","No",""
"RF EYE PC dba Cochise Eye and Laser","AZ","Healthcare Provider","100000","02/12/2021","Hacking/IT Incident","Network Server","No",""
"Bowling Green Inn of Pensacola, LLC  DBA Twelve Oaks Recovery","FL","Healthcare Provider","9023","02/12/2021","Hacking/IT Incident","Network Server","No",""
"Grand River Medical Group","IA","Healthcare Provider","34000","02/12/2021","Hacking/IT Incident","Desktop Computer","No",""
"Hope Healthcare Service","FL","Healthcare Provider","1152","02/11/2021","Hacking/IT Incident","Network Server","No",""
"Piedmont Health Services ","NC","Healthcare Provider","677","02/09/2021","Hacking/IT Incident","Network Server","Yes",""
"Gore Medical Management, LLC","GA","Healthcare Provider","79100","02/08/2021","Hacking/IT Incident","Desktop Computer","No",""
"Hackley Community Care Center","MI","Healthcare Provider","2644","02/08/2021","Hacking/IT Incident","Email","No",""
"Granite Wellness Centers","CA","Healthcare Provider","15600","02/04/2021","Hacking/IT Incident","Network Server","No",""
"Texas Spine Consultants, LLP","TX","Healthcare Provider","25728","02/03/2021","Unauthorized Access/Disclosure","Network Server","No",""
"DataLogic Software, Inc. ","TX","Business Associate","7200","02/03/2021","Hacking/IT Incident","Network Server","Yes",""
"Fairfax County Public Schools' Health Plan","VA","Business Associate","11056","02/02/2021","Hacking/IT Incident","Email","Yes",""
"Montefiore Medical Center ","NY","Healthcare Provider","1787","01/29/2021","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Florida Healthy Kids Corporation","FL","Health Plan","3500000","01/29/2021","Hacking/IT Incident","Network Server","Yes",""
"A Renewed Mind","OH","Healthcare Provider","2428","01/29/2021","Hacking/IT Incident","Email","No",""
"The Richards Group","VT","Business Associate","15429","01/28/2021","Hacking/IT Incident","Email","Yes",""
"Austin Hearing Services","TX","Healthcare Provider","600","01/23/2021","Unauthorized Access/Disclosure","Email","No",""
"Florida Hospital Physician Group Inc.","FL","Healthcare Provider","13759","01/22/2021","Hacking/IT Incident","Electronic Medical Record","No",""
"Inova Health System","VA","Healthcare Provider","1680","01/22/2021","Unauthorized Access/Disclosure","Email","No",""
"Merrill Iron & Steel Health Benefit Plan","WI","Health Plan","899","01/21/2021","Hacking/IT Incident","Network Server","No",""
"Limeade, Inc.","WA","Business Associate","668","01/20/2021","Unauthorized Access/Disclosure","Network Server","Yes",""
"Krapf Group","PA","Health Plan","610","01/19/2021","Hacking/IT Incident","Network Server","No",""
"Hendrick Health","TX","Healthcare Provider","640436","01/15/2021","Hacking/IT Incident","Network Server","No",""
"Montgomery Hospice, Inc.","MD","Healthcare Provider","1440","01/15/2021","Hacking/IT Incident","Email","No",""
"Wisconsin Department of Health Services","WI","Health Plan","1281","01/15/2021","Unauthorized Access/Disclosure","Network Server","Yes",""
"Center for Alternative Sentencing and Employment Services ","NY","Healthcare Provider","3994","01/15/2021","Hacking/IT Incident","Email","No",""
"KR Perio, Katherine Rodriguez, DMD","FL","Healthcare Provider","500","01/11/2021","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Leon Medical Centers, LLC","FL","Healthcare Provider","76661","01/08/2021","Hacking/IT Incident","Network Server","No",""
"Roper St. Francis Healthcare","SC","Healthcare Provider","189761","01/08/2021","Hacking/IT Incident","Email","No",""
"American Anesthesiology, Inc.","NY","Healthcare Provider","1269074","01/08/2021","Hacking/IT Incident","Email","Yes",""
"Managed Health Services (MHS)","IN","Health Plan","11988","01/08/2021","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Walgreen Co.","IL","Healthcare Provider","16089","01/08/2021","Unauthorized Access/Disclosure","Email","No",""
"South Country Health Alliance ","MN","Health Plan","66874","12/31/2020","Hacking/IT Incident","Email","No",""
"Apex Laboratory, Inc. ","NY","Healthcare Provider","7102","12/31/2020","Hacking/IT Incident","Network Server","No",""
"Simpson Senior Services, Inc.","PA","Healthcare Provider","3259","12/31/2020","Hacking/IT Incident","Email","No",""
"Buckeye Health Plan","OH","Health Plan","606","12/29/2020","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Sky Lakes Medical Center","OR","Healthcare Provider","501","12/23/2020","Hacking/IT Incident","Network Server","No",""
"Agency for Community Treatment Services, Inc.","FL","Healthcare Provider","73825","12/22/2020","Hacking/IT Incident","Network Server","No",""
"Gainwell Technologies LLC ","AR","Business Associate","3317","12/22/2020","Loss","Paper/Films","Yes",""
"Aetna ACE","CT","Health Plan","484157","12/22/2020","Hacking/IT Incident","Email","Yes",""
"Kristina T Nguyen, DDS, PC","VA","Healthcare Provider","8000","12/21/2020","Hacking/IT Incident","Network Server","No",""
"Iowa Total Care, Inc.","IA","Health Plan","536","12/18/2020","Unauthorized Access/Disclosure","Email","No",""
"Comprehensive Neurology, PC","NY","Healthcare Provider","6800","12/17/2020","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"Community Eye Care, LLC","NC","Health Plan","149804","12/17/2020","Hacking/IT Incident","Email","No",""
"MEDNAX Services, Inc.","FL","Business Associate","1290670","12/16/2020","Hacking/IT Incident","Email","Yes",""
"Benjamin Rose Institute on Aging","OH","Healthcare Provider","1452","12/15/2020","Hacking/IT Incident","Email","No",""
"Midwest Geriatric Management, LLC","MO","Healthcare Provider","4814","12/14/2020","Hacking/IT Incident","Email","No",""
"Southeast Health Center of Ripley County","MO","Healthcare Provider","5001","12/11/2020","Hacking/IT Incident","Network Server","No",""
"SSM Health Insurance Company","WI","Health Plan","4492","12/11/2020","Unauthorized Access/Disclosure","Paper/Films","No",""
"TNMO Healthcare, LLC","TN","Healthcare Provider","501","12/11/2020","Improper Disposal","Other","No",""
"Sonoma Valley Healthcare District","CA","Healthcare Provider","69000","12/09/2020","Hacking/IT Incident","Email","No",""
"Mirra Health Care","FL","Business Associate","1064","12/08/2020","Unauthorized Access/Disclosure","Other","Yes",""
"Mercy Health","MO","Healthcare Provider","11187","12/04/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Sincera Reproductive Medicine","PA","Healthcare Provider","37989","12/03/2020","Hacking/IT Incident","Network Server","No",""
"Montefiore Medical Center ","NY","Healthcare Provider","670","12/01/2020","Unauthorized Access/Disclosure","Paper/Films","No",""
"Liv-On Family Care Center, PA","MN","Healthcare Provider","1580","12/01/2020","Theft","Desktop Computer, Laptop, Other Portable Electronic Device","No",""
"Brazos Valley Plastic Surgery","TX","Healthcare Provider","2255","11/26/2020","Unauthorized Access/Disclosure","Email","No",""
"Tufts Health Plan","MA","Health Plan","60545","11/25/2020","Hacking/IT Incident","Email","Yes",""
"US Fertility LLC","MD","Business Associate","878550","11/25/2020","Hacking/IT Incident","Network Server","Yes",""
"Presbyterian Health Plan","NM","Business Associate","3557","11/23/2020","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"The Tree House Child Advocacy Center of Montgomery County","MD","Business Associate","514","11/23/2020","Unauthorized Access/Disclosure","Network Server","Yes",""
"Interim HealthCare of the Capital Region","NY","Healthcare Provider","1127","11/23/2020","Hacking/IT Incident","Email","No",""
"The Nebraska Medical Center and University of Nebraska Medical Center, Affiliated Covered Entities","NE","Healthcare Provider","216472","11/23/2020","Hacking/IT Incident","Network Server","No",""
"Bayhealth Medical Center, Inc.","DE","Healthcare Provider","78006","11/20/2020","Hacking/IT Incident","Network Server","Yes",""
"Planned Parenthood of Metro Washington","DC","Healthcare Provider","500","11/20/2020","Hacking/IT Incident","Network Server","No",""
"AspenPointe, Inc. ","CO","Healthcare Provider","295617","11/19/2020","Hacking/IT Incident","Network Server","No",""
"Jonathan Woolfson, MD, PC","GA","Healthcare Provider","2000","11/19/2020","Theft","Laptop","No",""
"University Hopsital","NJ","Healthcare Provider","39207","11/13/2020","Hacking/IT Incident","Network Server","No",""
"Open Door Family Medical Center, Inc.","NY","Healthcare Provider","36474","11/12/2020","Hacking/IT Incident","Email, Network Server","No",""
"ProMedica Bixby Hospital","MI","Healthcare Provider","3500","11/12/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Seeley Enterprises Company","OH","Healthcare Provider","16196","11/06/2020","Hacking/IT Incident","Network Server","No",""
"Conway Regional Health System","AR","Healthcare Provider","2945","11/06/2020","Unauthorized Access/Disclosure","Email","No",""
"People Incorporated","MN","Healthcare Provider","27500","11/06/2020","Hacking/IT Incident","Email","No",""
"Lake County Health Department and Community Health Center","IL","Healthcare Provider","3815","11/05/2020","Unauthorized Access/Disclosure","Email","No",""
"Alamance Skin Center","NC","Healthcare Provider","100000","11/04/2020","Hacking/IT Incident","Electronic Medical Record","No",""
"Timberline Billing Service, LLC","IA","Business Associate","117088","10/30/2020","Hacking/IT Incident","Network Server","Yes",""
"State of North Dakota","ND","Healthcare Provider","35416","10/27/2020","Hacking/IT Incident","Email","No",""
"Luxottica of America Inc.","OH","Business Associate","829454","10/27/2020","Hacking/IT Incident","Network Server","Yes",""
"OSF HealthCare System","IL","Healthcare Provider","94171","10/19/2020","Hacking/IT Incident","Network Server","Yes",""
"BryLin Hospitals, Incorporated","NY","Healthcare Provider","8000","10/17/2020","Hacking/IT Incident","Network Server","No",""
"University of Michigan/Michigan Medicine","MI","Healthcare Provider","1062","10/16/2020","Unauthorized Access/Disclosure","Email","No",""
"Passavant Memorial Homes, Inc.","PA","Healthcare Provider","25000","10/14/2020","Hacking/IT Incident","Network Server","No",""
"Milestone Electric, Inc.","TX","Health Plan","4973","10/08/2020","Hacking/IT Incident","Email","No",""
"Mayo Clinic","MN","Healthcare Provider","1614","10/05/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"EyeMed Vision Care LLC","OH","Business Associate","1474000","09/28/2020","Unauthorized Access/Disclosure","Email","Yes",""
"Century Specialty Script","NY","Healthcare Provider","16038","09/28/2020","Hacking/IT Incident","Email","No",""
"Montefiore Medical Center","NY","Healthcare Provider","4004","09/18/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"University of Missouri Health Care","MO","Healthcare Provider","189736","09/17/2020","Hacking/IT Incident","Email","No",""
"OrthoAtlanta, LLC","GA","Healthcare Provider","5600","09/17/2020","Hacking/IT Incident","Network Server","No",""
"Accents on Health","CO","Healthcare Provider","2000","09/16/2020","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Alameda Health System ","CA","Healthcare Provider","2691","09/15/2020","Hacking/IT Incident","Email","No",""
"Samaritan Healthcare & Hospice","NJ","Healthcare Provider","3657","09/14/2020","Hacking/IT Incident","Network Server","Yes",""
"Specialized Alternatives for Families & Youth of America, Inc.","OH","Business Associate","58123","09/11/2020","Hacking/IT Incident","Email","Yes",""
"Total Urology Care of New York PLLC","NY","Healthcare Provider","23000","09/10/2020","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Mental Health Center of Boulder County Inc. dba Mental Health Partners ","CO","Healthcare Provider","2650","09/09/2020","Hacking/IT Incident","Email","No",""
"Servicios de Salud Primarios de Barceloneta, Inc. ","","Healthcare Provider","60200","09/04/2020","Hacking/IT Incident","Network Server","No",""
"Advocate Aurora Health","WI","Healthcare Provider","2979","09/04/2020","Unauthorized Access/Disclosure","Paper/Films","No",""
"Roper St. Francis Healthcare","SC","Healthcare Provider","6000","09/03/2020","Hacking/IT Incident","Email","No",""
"H. Lee Moffitt Cancer Center & Research Institute ","FL","Healthcare Provider","4056","09/02/2020","Theft","Other Portable Electronic Device, Paper/Films","No",""
"BEACON ORTHOPAEDICS & SPORTS MEDICINE","OH","Healthcare Provider","2869","08/28/2020","Theft","Other, Other Portable Electronic Device","No",""
"Assured Imaging","AZ","Healthcare Provider","244813","08/27/2020","Hacking/IT Incident","Network Server","No",""
"City of Lafayette Fire Department","CO","Healthcare Provider","15000","08/25/2020","Hacking/IT Incident","Network Server","No",""
"Consultant Anesthesiologists, Inc.","OH","Healthcare Provider","740","08/25/2020","Theft","Paper/Films","No",""
"Elwyn","PA","Healthcare Provider","16579","08/21/2020","Hacking/IT Incident","Email","No",""
"Arnot Health","NY","Healthcare Provider","1164","08/18/2020","Hacking/IT Incident","Email, Network Server","Yes",""
"Selected Benefits","PA","Business Associate","8100","08/14/2020","Hacking/IT Incident","Email","Yes",""
"D&S Residential Holdings, LLC","TX","Healthcare Provider","2102","08/14/2020","Hacking/IT Incident","Email","No",""
"Advocate Aurora Health ","WI","Healthcare Provider","1907","08/14/2020","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Dynasplint Systems, Inc.","MD","Healthcare Provider","102800","08/06/2020","Hacking/IT Incident","Network Server","No",""
"Summit Medical Associates","IN","Healthcare Provider","7264","08/04/2020","Hacking/IT Incident","Network Server","No",""
"Freeport Regional Health Care Foundation","IL","Healthcare Provider","4120","07/31/2020","Hacking/IT Incident","Email","No",""
"Muskingum Valley Health Centers","OH","Healthcare Provider","7447","07/31/2020","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"Elkins Rehabilitation & Care Center","WV","Healthcare Provider","3127","07/30/2020","Hacking/IT Incident","Email","No",""
"Children's Hospital Colorado","CO","Healthcare Provider","2553","07/27/2020","Hacking/IT Incident","Email","No",""
"University of Maryland Faculty Physicians, Inc. / University of Maryland Medical Center","MD","Healthcare Provider","33896","07/24/2020","Hacking/IT Incident","Email","No",""
"Walgreen Co.","IL","Healthcare Provider","72143","07/24/2020","Theft","Other Portable Electronic Device, Paper/Films","No",""
"Supervalu Pharmacies, Inc.","MN","Healthcare Provider","1500","07/24/2020","Theft","Other, Paper/Films","No",""
"University of Utah","UT","Healthcare Provider","10000","07/20/2020","Hacking/IT Incident","Email","No",""
"Allergy and Asthma Clinic of Fort Worth","TX","Healthcare Provider","69777","07/16/2020","Hacking/IT Incident","Network Server","No",""
"US HealthCenter, Inc.","WI","Business Associate","1441","07/16/2020","Hacking/IT Incident","Email","Yes",""
"Wisconsin Department of Corrections","WI","Healthcare Provider","1853","07/15/2020","Unauthorized Access/Disclosure","Other","No",""
"Jim Dinh, DC ","TX","Business Associate","500","07/10/2020","Theft","Desktop Computer, Laptop, Other Portable Electronic Device","Yes",""
"Four Winds Behavioral Health ","NM","Healthcare Provider","500","07/06/2020","Hacking/IT Incident","Email","No",""
"Florida Orthopaedic Institute","FL","Healthcare Provider","640000","07/01/2020","Hacking/IT Incident","Network Server","No",""
"Carter and Hoff Dentistry","NC","Healthcare Provider","7000","07/01/2020","Hacking/IT Incident","Network Server","No",""
"M&T Bank","NY","Business Associate","5878","06/29/2020","Unauthorized Access/Disclosure","Email","Yes",""
"Benefit Recovery Specialists, Inc. ","TX","Business Associate","274837","06/26/2020","Hacking/IT Incident","Network Server","Yes",""
"Rose Dental ","TX","Healthcare Provider","6169","06/26/2020","Hacking/IT Incident","Email","No",""
"Rose Dental ","TX","Healthcare Provider","2835","06/26/2020","Hacking/IT Incident","Email","No",""
"Morneau Shepell Limited","IL","Healthcare Provider","1162","06/25/2020","Hacking/IT Incident","Email","No",""
"Grace & Porta Benefits, inc.","MI","Health Plan","572","06/23/2020","Hacking/IT Incident","Email","No",""
"CHI St. Luke's Health Memorial","TX","Healthcare Provider","1045","06/19/2020","Unauthorized Access/Disclosure","Network Server","No",""
"CodeMetro, Inc.","CA","Business Associate","62807","06/19/2020","Hacking/IT Incident","Network Server","Yes",""
"The Kroger Co., for itself and its affiliates and subsidiaries","OH","Healthcare Provider","10974","06/18/2020","Hacking/IT Incident","Network Server","No",""
"Oral and Maxillofacial Surgery Associates, P.A.","SC","Healthcare Provider","35498","06/17/2020","Hacking/IT Incident","Desktop Computer, Network Server, Other Portable Electronic Device","No",""
"Healthcare Fiscal Management Inc.","NC","Business Associate","58000","06/12/2020","Hacking/IT Incident","Network Server","Yes",""
"Sunrise Treatment Center,LLC","OH","Healthcare Provider","3660","06/12/2020","Hacking/IT Incident","Email","No",""
"University of Missouri Health Care","MO","Healthcare Provider","5074","06/11/2020","Hacking/IT Incident","Email","No",""
"Rangely District Hospital","CO","Healthcare Provider","6339","06/08/2020","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"University of Utah","UT","Healthcare Provider","1909","06/08/2020","Hacking/IT Incident","Email","No",""
"Good Samaritan Hospital, Inc.","CA","Healthcare Provider","233835","04/17/2020","Hacking/IT Incident","Email","No",""
